comment,clean_comment
"Menurut Keyakinan Saya, Atmin Memang Mengantuk",menurut keyakinan saya atmin memang mengantuk
Lu tau mereka ber 3 se umuran makannya jokes nya nyambung,lu tau mereka ber se umuran makannya jokes nya nyambung
Cok ini Gibran nya pasti AI atau deep fake ngak percaya gue😂 wkwkwk,cok ini gibran nya pasti ai atau deep fake ngak percaya gue wkwkwk
Gibran gk ngapa-ngapain aj kna hujat aplg gerak😂. Kasihan juga sebenernya,gibran gk ngapangapain aj kna hujat aplg gerak kasihan juga sebenernya
Panji berjam jam tanpa wujud dan 2 org ini cukup 18 menit ada wujudya 😂,panji berjam jam tanpa wujud dan org ini cukup menit ada wujudya
"Mantaaap, Mas Gibran tetap seperti biasa, selalu kalem dan berkelas.

Kalo geng Cikeas oleh Panji dibahas track record nya sang besan dan tag ""katakan tidak pada korupsi"", apa bakal se kalem Mas Gibran...?

Panji gk berani y kalo bahas mantan presiden selain Jokowi...?
😅😂😅",mantaaap mas gibran tetap seperti biasa selalu kalem dan berkelas kalo geng cikeas oleh panji dibahas track record nya sang besan dan tag katakan tidak pada korupsi apa bakal se kalem mas gibran panji gk berani y kalo bahas mantan presiden selain jokowi
The las bosss njir 😂😂😂😂,the las bosss njir
Ini wakil presiden bukan,ini wakil presiden bukan
Sumpah co duo tesesat ini bikin ketar ketir joks nya😂,sumpah co duo tesesat ini bikin ketar ketir joks nya
dimana 19 juta lapangan kerja nya mas,dimana juta lapangan kerja nya mas
14:52 DAWWWG,dawwwg
Main sebentar juga tetap seru 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,main sebentar juga tetap seru
"Pinggir jurang ❌
Main2 di jurang karena udah kebiasaan ✅",pinggir jurang main di jurang karena udah kebiasaan
"salut sie ma mas gibran, sabar banget",salut sie ma mas gibran sabar banget
Nah ini suka ni ke gini,nah ini suka ni ke gini
AI ini pasti,ai ini pasti
emang buzzer2 tua bangka aja yang ribut,emang buzzer tua bangka aja yang ribut
MENS REA,mens rea
"Polisi udah gak punya alasan nerusin kasus ini, Gibran, NU dan Muhammadiyah udah ngasih keterangan jelas.

Muslim Coki secara gak langsung sedang memperingati buzzer junior😂",polisi udah gak punya alasan nerusin kasus ini gibran nu dan muhammadiyah udah ngasih keterangan jelas muslim coki secara gak langsung sedang memperingati buzzer junior
wadidaaawww,wadidaaawww
"Kenapa bebeknya gak dicicip dulu sebelum disuguhkan ke wapres kita, heh??! Kalau ada sianidanya gimana?",kenapa bebeknya gak dicicip dulu sebelum disuguhkan ke wapres kita heh kalau ada sianidanya gimana
Tretan sama coki kaya nya mau jdi termul yaa😅😅😅😅,tretan sama coki kaya nya mau jdi termul yaa
"Menurut kalian, emg cocok ga sih klo dia tampil di konten komedi drpd akademis? (Sekedar nanya)",menurut kalian emg cocok ga sih klo dia tampil di konten komedi drpd akademis sekedar nanya
"Mungkin Pak Wapres Perlu Sering Tampil Di Publik Dengan Para Influencer2
Supaya menjadi jembatan antara Masyarakat dengan Pemerintah",mungkin pak wapres perlu sering tampil di publik dengan para influencer supaya menjadi jembatan antara masyarakat dengan pemerintah
"Enak ya kalo deket sama rezim, bisa roasting langsung wkwkwkw",enak ya kalo deket sama rezim bisa roasting langsung wkwkwkw
dua orang pinter ngomong vs satu orang pinter diem. jangan keras keras pertanyaan nya nanti kosong,dua orang pinter ngomong vs satu orang pinter diem jangan keras keras pertanyaan nya nanti kosong
Pria solo 😂,pria solo
Ngeriii😂😂😂😂😂,ngeriii
ANJERRRRRRRR GUA NGAKAK😅,anjerrrrrrrr gua ngakak
Kek nya panji cocok jdi wakil tahun 2029 nnti dah ama roy suryo duet ny😅,kek nya panji cocok jdi wakil tahun nnti dah ama roy suryo duet ny
"Yang putih : si Giant
Yang Hitam : si Suneo
Yang Biru : Orang Besar",yang putih si giant yang hitam si suneo yang biru orang besar
Perpanjang kontrak nih..,perpanjang kontrak nih
Ini si recal2 di dalem base 😂,ini si recal di dalem base
Ini sama ai ?,ini sama ai
Paman coki menit 6 pas topik pembangunan udah ga kuat mau nge jokes jir 😂,paman coki menit pas topik pembangunan udah ga kuat mau nge jokes jir
Duet Termul Cok 😂,duet termul cok
wkwkwk wapres kita ini .. kocak juga ya wkwwk,wkwkwk wapres kita ini kocak juga ya wkwwk
03:19 udah software bawaan,udah software bawaan
Dia kalau ngomong A pasti di hatinya B 😅,dia kalau ngomong a pasti di hatinya b
Terlalu,terlalu
"ngobrol begini lancar, diskusi ama mahasiswa bingung😂😂",ngobrol begini lancar diskusi ama mahasiswa bingung
sertifikat halal ada tapi ijazah ada ngga cak ? 😂,sertifikat halal ada tapi ijazah ada ngga cak
Cocok buat hiburan harian 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,cocok buat hiburan harian
Bikin ngantuk,bikin ngantuk
Santai sekali wapreskuuuuu luv,santai sekali wapreskuuuuu luv
"Gk boleh lu panjul nyerang pisik..sukses buat semua..mas gibran kaya agak ngantuk ya di podcast ini,kecapean kayanya😅",gk boleh lu panjul nyerang pisiksukses buat semuamas gibran kaya agak ngantuk ya di podcast inikecapean kayanya
buzzer laknat,buzzer laknat
"WKnya dh nyewa2in buzzer buat ngebelain, eh orgnya nge 'gpp' in
Abis ini bisa kli 'ngobrolnya' ama mahasiswa yg mo ngobrol tu😁",wknya dh nyewain buzzer buat ngebelain eh orgnya nge gpp in abis ini bisa kli ngobrolnya ama mahasiswa yg mo ngobrol tu
pria solo vs duo,pria solo vs duo
Mas Gibran terlihat seperti sedang cosplay filthy frank yh,mas gibran terlihat seperti sedang cosplay filthy frank yh
Mssyarakat indonesia emang udah terlalu binatang sih...,mssyarakat indonesia emang udah terlalu binatang sih
Aslii polos bngt ni orangg 🤣🤣,aslii polos bngt ni orangg
Ini AI kan?,ini ai kan
Roastin depan org nya 🤣🤣🤣👍🏻 mantap,roastin depan org nya mantap
Gak kelass sama sekali.... Sekelas wapres itu harusnya blas gak usah pakek podcast tapi lewat aksi nyata dan prestasi.... Yakin deh para haters langsung hormat semua.,gak kelass sama sekali sekelas wapres itu harusnya blas gak usah pakek podcast tapi lewat aksi nyata dan prestasi yakin deh para haters langsung hormat semua
si junior solo itu lagi..,si junior solo itu lagi
caaakkkkkkkkkkkkkk,caaakkkkkkkkkkkkkk
COKI KOK BERADAB?,coki kok beradab
jubir istana sesungguhnya,jubir istana sesungguhnya
Mulutnya Coki asal jeplak.😂😂😂,mulutnya coki asal jeplak
Main santai tanpa tekanan 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,main santai tanpa tekanan
"Oke okee gibran, sekarang podcast bareng pandjinya langsung yok",oke okee gibran sekarang podcast bareng pandjinya langsung yok
🤣🤣🤣🤣 8:58  ngawur wkwkwk,ngawur wkwkwk
"Saran min, thumbnailnya pake gambar pas podcastnya, jujur aja kaget pas mencet nongol beneran😂",saran min thumbnailnya pake gambar pas podcastnya jujur aja kaget pas mencet nongol beneran
Ditunggu konten sama bang pandji mas gibran. Ngobrol gitu lo. atau skakmat oke juga tu 😂,ditunggu konten sama bang pandji mas gibran ngobrol gitu lo atau skakmat oke juga tu
geloooo  si cokiii berani bener bgsttt,geloooo si cokiii berani bener bgsttt
"Yg lebih bangsat muslim, selain di jadiin jokes, wapres di jadiin bahan iklan gratis, saatt...",yg lebih bangsat muslim selain di jadiin jokes wapres di jadiin bahan iklan gratis saatt
bro langsung mendatangkan sang atmin nomor 2,bro langsung mendatangkan sang atmin nomor
akh pria solo itu lagi…,akh pria solo itu lagi
Harusnya sekalian disatukan sama Pandji lah. Biar makin rame bebeknya. Kapan MBG lauknya bebek bang?,harusnya sekalian disatukan sama pandji lah biar makin rame bebeknya kapan mbg lauknya bebek bang
Yang di tengah siapa ya?,yang di tengah siapa ya
Bangsat palung mariana ini mah asu,bangsat palung mariana ini mah asu
Bisa main sesuai waktu luang 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,bisa main sesuai waktu luang
"WAPRES TERSANTAI DAN PALING ASIK,TERUSKAN MAS WAPRES BIAR YANG PANAS MAKIN GOSONG HATINYA🔥🔥🔥",wapres tersantai dan paling asikteruskan mas wapres biar yang panas makin gosong hatinya
toloooonggg 😭😭😭,toloooonggg
"dia ga marah tapi juga ga ketawa loh, coba cek kabelnya error apa gimana",dia ga marah tapi juga ga ketawa loh coba cek kabelnya error apa gimana
"sq juga muslim, tidak pandang bulu",sq juga muslim tidak pandang bulu
"Gak nyangka dua orang yang pernah berteriak neraka pada babi punya bekingan wapres sekarang 
Chaaakkzzzz...",gak nyangka dua orang yang pernah berteriak neraka pada babi punya bekingan wapres sekarang chaaakkzzzz
Awowkwkwk buzzerp sdg bekerja bersama junjungan nya 😂😂😂,awowkwkwk buzzerp sdg bekerja bersama junjungan nya
Banyak yang main karena asik 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,banyak yang main karena asik
KO GW YG GEMETERAN,ko gw yg gemeteran
Gokillllll sama gibran 😭,gokillllll sama gibran
"baru kali ini, ada .. yg bukan seperti .. 🤭",baru kali ini ada yg bukan seperti
Yang dibelakang kerja beneran atau figuran kok saya liat cuma  ngelakuin hal yang sama berulang kali,yang dibelakang kerja beneran atau figuran kok saya liat cuma ngelakuin hal yang sama berulang kali
rispek,rispek
"jujur gua suka sosok gibran jika di sandingkan dengan para pelawak/standup comedyan, tapi berbanding kebalik jika beliau sedang berada di kursi politik",jujur gua suka sosok gibran jika di sandingkan dengan para pelawakstandup comedyan tapi berbanding kebalik jika beliau sedang berada di kursi politik
"keliatan banget si tretan di sini sangat mengagungkan bos di sampingnya, beda ama coki wkwkwkw",keliatan banget si tretan di sini sangat mengagungkan bos di sampingnya beda ama coki wkwkwkw
05:20 bangke 😂,bangke
coki muslim manusia terkamprettt,coki muslim manusia terkamprettt
Bener ngantuk dia bukan urus negara malah bikin konten 😂,bener ngantuk dia bukan urus negara malah bikin konten
Bgst bett si coki😂😂,bgst bett si coki
Cocok buat pemula juga 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,cocok buat pemula juga
"Kemana wahai kalian pembela wapres, nih wapresnya santai santai saja.",kemana wahai kalian pembela wapres nih wapresnya santai santai saja
Itu Bagas server keringet dingin 😂,itu bagas server keringet dingin
Laporan dulu sama ketua,laporan dulu sama ketua
Sekadar main buat fun 🐣👌𝙉𝘼𝙎𝘼𝙂𝘼𝙈𝙄𝙉𝙂💲💚,sekadar main buat fun
Deg degan,deg degan
Saattttt😂,saattttt
"Terimakasih, fufufafa.",terimakasih fufufafa
"19 juta ,manaa malah podcast😂😂",juta manaa malah podcast
"Bingung sama masyarakat indo, dulu katanya ga mau pimpin boomers. Giliran dikasih wakil presiden gen z pada ngamuk 😂. Masalahnya dia ngakalin lewat MK? Kalo ga ngakalin ya ttp kita bakalan dipimpin boomers kocak",bingung sama masyarakat indo dulu katanya ga mau pimpin boomers giliran dikasih wakil presiden gen z pada ngamuk masalahnya dia ngakalin lewat mk kalo ga ngakalin ya ttp kita bakalan dipimpin boomers kocak
Coki asuuu 😂,coki asuuu
makan bebek bersama fufufafuy,makan bebek bersama fufufafuy
Wakil presiden masih punya waktu podcast 🤣🤣🤣🤣🤣🤣🤣🤣🤣,wakil presiden masih punya waktu podcast
lebih banggsatt dari bang pandji 😄😄😄,lebih banggsatt dari bang pandji
Bjir buzzer pada pindah kesinikah,bjir buzzer pada pindah kesinikah
"coki kurusan, why???",coki kurusan why
Dia wapres atau kontenkretor sih 😅,dia wapres atau kontenkretor sih
Dia berusaha gak ngantuk,dia berusaha gak ngantuk
"Coki pidana cuuk,, maling punya wapres. 😂😂",coki pidana cuuk maling punya wapres
"Keliatan banget kosong nih.. 

Si coki😂",keliatan banget kosong nih si coki
"Si gibran introvert kah, ngomong dikit amat 😅 lebih membela diri dong. Kita kan mau lihat emosi atau penjelasan yang bisa membuat masyarakat Indonesia lebih bisa memahami mas gibran.",si gibran introvert kah ngomong dikit amat lebih membela diri dong kita kan mau lihat emosi atau penjelasan yang bisa membuat masyarakat indonesia lebih bisa memahami mas gibran
Jam lu merek apa cok ?,jam lu merek apa cok
Definis buzzer dibalut ceesan😂😂😂😂,definis buzzer dibalut ceesan
satttt🤣🤣🤣,satttt
6:23 program mbg program pak presideeeen? 🤣,program mbg program pak presideeeen
Sapu sapuuuu,sapu sapuuuu
kita butuh pemimpin seperti ini,kita butuh pemimpin seperti ini
"""Itu pesenan mas Gibran"" Lucu bngt",itu pesenan mas gibran lucu bngt
cokmus calon komisaris BUMN,cokmus calon komisaris bumn
akhirnya konten musuh masyarakat  balik lagi😂,akhirnya konten musuh masyarakat balik lagi
Ga berani bahas nebang pohon😅,ga berani bahas nebang pohon
Coki ketawanya anj bgt satttt 🤣,coki ketawanya anj bgt satttt
Cokiii sattttt....,cokiii sattttt
Terlalu ring 1 mas muslim😂😂,terlalu ring mas muslim
Hahahahahha flashdisk polisi 🤣🤣🤣🤣,hahahahahha flashdisk polisi
4:20 momen ter******** 🤣🤣🤣,momen ter
14:26 ada dong jaman masih nongkrong di kaskus ;),ada dong jaman masih nongkrong di kaskus
Ini kan admin fu,ini kan admin fu
pemuda solo,pemuda solo
Enak bgt resto diendorse orang nomor 2,enak bgt resto diendorse orang nomor
ini AI yah?,ini ai yah
Asu sok bijak nih... 😂,asu sok bijak nih
Mutant baru kah ini?,mutant baru kah ini
Lah orangnya aja gapapa buat lucu-lucuan. WKWKWKWK Walaupun podcastnya sambil ngantuk 🫩,lah orangnya aja gapapa buat luculucuan wkwkwkwk walaupun podcastnya sambil ngantuk
Kosong adalah isi. Isi adalah kosong. Sancai sancai,kosong adalah isi isi adalah kosong sancai sancai
😂😂😂😂😂,
Bran lo resign jd wapres jd komedian aja udah plis cocok bangettt😂,bran lo resign jd wapres jd komedian aja udah plis cocok bangettt
"Pandji = Anis Baswedan
Coki + Muslim = Gibran",pandji anis baswedan coki muslim gibran
Video bukti tindak pidana gratifikasi 😡😡 chakzzz🗿,video bukti tindak pidana gratifikasi chakzzz
"Sang Admin datang , sangat sulit dipercaya😂",sang admin datang sangat sulit dipercaya
"Respect buat mas gibran, dan coki muslim 🌻",respect buat mas gibran dan coki muslim
Kasus pandji hanyalah untuk menghilangkan kasus kasus yang sebelumnya,kasus pandji hanyalah untuk menghilangkan kasus kasus yang sebelumnya
Anjay cokmus bekingan nya ring 1 😊,anjay cokmus bekingan nya ring
cuma 18 menit awkward bgt,cuma menit awkward bgt
𝚆𝚞𝚊𝚗𝚓𝚎𝚎𝚗𝚐𝚐𝚐... 𝙿𝚊𝚗𝚓𝚒 𝚟𝚜 𝚛𝚘𝚢 𝚜𝚞𝚛𝚢𝚘??? 🤣🤣🤣🤣,
2026 mode santai. 2029 mode debat capres garang,mode santai mode debat capres garang
"Bjirrr gw yg nonton, gw yg ketar ketir 😂",bjirrr gw yg nonton gw yg ketar ketir
"Di undang mahasiswa ga dateng
Di undang diskusi ga dateng
Di undang buzzernya baru mau",di undang mahasiswa ga dateng di undang diskusi ga dateng di undang buzzernya baru mau
Depan presiden cak cuk cak cuk cuman mereka yang bisa 😂😂😂😂,depan presiden cak cuk cak cuk cuman mereka yang bisa
Tukang cebok😂,tukang cebok
😌,
cuma mli yg bisa undang wapres,cuma mli yg bisa undang wapres
Coki slow banget lu lu an ke gibran hahahaha,coki slow banget lu lu an ke gibran hahahaha
sampah,sampah
"Bushet! Ngeroasting depan orang nya,ini baru komika paling berani..😂😂",bushet ngeroasting depan orang nyaini baru komika paling berani
Duo host ini mengabaikan perasaan sedih kedua orang tua si tamu 😭,duo host ini mengabaikan perasaan sedih kedua orang tua si tamu
Mukanya kok lemes mas gib. Tolong lebih full senyum 😀,mukanya kok lemes mas gib tolong lebih full senyum
Ah salah satu pria oslo itu lagi,ah salah satu pria oslo itu lagi
Respect sih 🔥,respect sih
"Ya ampun...pengen ngakak, kok Gibran mau meladeni dua makhluk ini 😁",ya ampunpengen ngakak kok gibran mau meladeni dua makhluk ini
Awikwokkkk 🤣🤣🤣,awikwokkkk
"Kita gak pesen kopi ... ""Saya tahu kemana arahnya ini..""",kita gak pesen kopi saya tahu kemana arahnya ini
"enak banget. youtube dapet bintang tamu segede ini,dapet endorse juga",enak banget youtube dapet bintang tamu segede inidapet endorse juga
asli mode PP (planga plongo )nya,asli mode pp planga plongo nya
NEXT PRIA SOLO 🔥,next pria solo
Kipernya tangan nya dipegang in Paspampres anj 😂😂 sat lah,kipernya tangan nya dipegang in paspampres anj sat lah
coki coki wkwkwkwk 🤣,coki coki wkwkwkwk
Awas mas kalian nanti ketularan ngantuknya😂😂,awas mas kalian nanti ketularan ngantuknya
"😂 jangan menilai orang dari tampang nya yang ngantukan 
Dulu yang di bilang palanga plongo aja, gak tau nya op banget sampai sekarang 
Bahkan yg udah jadi tersangka saja datang kerumah nya langsung turun sp3 😂😂😂",jangan menilai orang dari tampang nya yang ngantukan dulu yang di bilang palanga plongo aja gak tau nya op banget sampai sekarang bahkan yg udah jadi tersangka saja datang kerumah nya langsung turun sp
Respect 🍺🙏🏻,respect
Mas Gibran ngantuk ya?,mas gibran ngantuk ya
itu yg ijo pengawalnya,itu yg ijo pengawalnya
WHY ?,why
Good Job Wakilku🎉,good job wakilku
jokes pinggir kawah wkwkw,jokes pinggir kawah wkwkw
Besok undang bang panji bang 😁 biarakin seru. Abis panji undang pak jokowu 🙂,besok undang bang panji bang biarakin seru abis panji undang pak jokowu
Bangsat😭,bangsat
ini AI ya?,ini ai ya
gan bagi cendol gan,gan bagi cendol gan
"Keluarin aja cok keluarin, nahan tawa kuat banget ente 😂😂😂",keluarin aja cok keluarin nahan tawa kuat banget ente
"""Coki apakah kamu memesan kopi? ""  Best part wkwkwkwkwk",coki apakah kamu memesan kopi best part wkwkwkwkwk
Wahhh … wapres jago bgt gimik ya.??? (Gimik pas order pesenan mksud gua),wahhh wapres jago bgt gimik ya gimik pas order pesenan mksud gua
"Men's Rea dan Laporan Roy Suryo jd set up anjir,,, Punchline malah disini...😅
Bang Wapres kayaknya banyak Upgrade diri, Jawaban2nya udah Keren bro... 
Namanya manusia pasti ada kesalahan2,,,, emangnya siapa yg sempurna di Indonesia ini? 
Upgrade diri setiap waktu, mumpung Usia masih muda,,, siapa tahu malah lebih baik dari yg sebelum-sebelumnya nanti... 
Tetap Semangat Bro.",mens rea dan laporan roy suryo jd set up anjir punchline malah disini bang wapres kayaknya banyak upgrade diri jawabannya udah keren bro namanya manusia pasti ada kesalahan emangnya siapa yg sempurna di indonesia ini upgrade diri setiap waktu mumpung usia masih muda siapa tahu malah lebih baik dari yg sebelumsebelumnya nanti tetap semangat bro
"Ngeri kaliii, ada RI 02...",ngeri kaliii ada ri
AI,ai
mana sertifikat halal nya bang?,mana sertifikat halal nya bang
"I itukan, Ah mungkin perasaan ku saja",i itukan ah mungkin perasaan ku saja
"Mas gibran marah nnti 2 setengah tahun saya dihina"" wkwkwk",mas gibran marah nnti setengah tahun saya dihina wkwkwk
"Saya kira AI , trnyata rill",saya kira ai trnyata rill
13:58 Wapresnya aman enggak baper... Pres dan kawan-kawannya ini yang wadidau turunan budaya orba,wapresnya aman enggak baper pres dan kawankawannya ini yang wadidau turunan budaya orba
"anjir gu LIAT expresi mas wapres aja nahan ketawa gua yg ngakka. emang selucu itu sih mas gibran hahahaha, tanpa gw harus nge hina fisik dya, tp klo yg ngehina fisik sih, lucu yg terlalu d paksain. hahha namanya juga nyari duit hasil bully org yah kan, wajar butuh effort biar lucu, biar penonton huahahahaha padahal, maksa bair lucu. nah mas wapres diem nahan tawa aja gua udh lucu ngakak banget hahha terus lah tenang seperti ini mas gib ran, aku bukan fans fanatik, tp kalo membenci sebelah aku fanatik banget ghahhaa",anjir gu liat expresi mas wapres aja nahan ketawa gua yg ngakka emang selucu itu sih mas gibran hahahaha tanpa gw harus nge hina fisik dya tp klo yg ngehina fisik sih lucu yg terlalu d paksain hahha namanya juga nyari duit hasil bully org yah kan wajar butuh effort biar lucu biar penonton huahahahaha padahal maksa bair lucu nah mas wapres diem nahan tawa aja gua udh lucu ngakak banget hahha terus lah tenang seperti ini mas gib ran aku bukan fans fanatik tp kalo membenci sebelah aku fanatik banget ghahhaa
IT (Ijazah Tok) yang diurus,it ijazah tok yang diurus
Dia lagi dia lagi jagoannya,dia lagi dia lagi jagoannya
Sejauh ini yg palin ter wiyu wiyu wiyu,sejauh ini yg palin ter wiyu wiyu wiyu
Gilaa 2 orang nekad cuk,gilaa orang nekad cuk
Lucu di atas segalanya 😂,lucu di atas segalanya
"Ralat Judul :

""Gibran ngantuk ya?!"" Tahan Sabar
""Gibran FUFUFAFA ya?!"" Nahan Benar",ralat judul gibran ngantuk ya tahan sabar gibran fufufafa ya nahan benar
"Bisa mendatangkan gibran
Gooooks🤣🤣🤣",bisa mendatangkan gibran gooooks
"Mas wapres, kalo udah ga jadi wapres join MLI aja mas 😂
Weton nya keknya cocok di MLI 😂",mas wapres kalo udah ga jadi wapres join mli aja mas weton nya keknya cocok di mli
Uupssstt mas fufufafa….😂😂,uupssstt mas fufufafa
Gramedia😂,gramedia
ruqiah aja gibran🗿,ruqiah aja gibran
"Patrick, Squidward, SpongeBob",patrick squidward spongebob
mutan baru kah,mutan baru kah
Giliran di skakmat gak datang 😂😂😂,giliran di skakmat gak datang
"Ginini baru koboy depan orangnya langsung, bg panji belummm🫷",ginini baru koboy depan orangnya langsung bg panji belummm
CAIR 😂😂,cair
"Gibran apa-apa aja udah dianggap salah. Mungkin napas aja salah. Jadi gak bakalan ngelaporin Pandji, kl ngelaporin malah tambah dibully masyarakat.",gibran apaapa aja udah dianggap salah mungkin napas aja salah jadi gak bakalan ngelaporin pandji kl ngelaporin malah tambah dibully masyarakat
KONTEN BUNGKUS KAH INI? 😂,konten bungkus kah ini
Disini akan ada Tim Komedi vs Tim Marah,disini akan ada tim komedi vs tim marah
Cuma di konoha wapres jadi bahan gini😂,cuma di konoha wapres jadi bahan gini
Ai,ai
Pandji dan roy suryo lucuan mana 😂😂🗿muslim vangke🤣🤣🤣malah gua yg dag dig dug 🗿🗿,pandji dan roy suryo lucuan mana muslim vangkemalah gua yg dag dig dug
Senyum tahan tawanya mas Gibran ni buat canduu yak 😂😂😅,senyum tahan tawanya mas gibran ni buat canduu yak
CHUAKKKKKSSSSSS,chuakkkkkssssss
sayang gak bahas fufufafa,sayang gak bahas fufufafa
15:55 wkwkwkwk bgst,wkwkwkwk bgst
"mantep ini.. ngomong di depan orangnya langsung...😂😂... anjim, hologram...😂😂",mantep ini ngomong di depan orangnya langsung anjim hologram
"Pada dasarnya ketiga orang ini suka komedi yang sangat berbahaya, komedi-komedi pinggir jurang, sayangnya yang tengah udah nggak pernah ngeritik malah kena kritik terus😂😂😂",pada dasarnya ketiga orang ini suka komedi yang sangat berbahaya komedikomedi pinggir jurang sayangnya yang tengah udah nggak pernah ngeritik malah kena kritik terus
Loh fufufafa lebih gg lagi kalo ngeroasting jd roastingnya panji dirasa cetek bgt 😂,loh fufufafa lebih gg lagi kalo ngeroasting jd roastingnya panji dirasa cetek bgt
HARUSNYA TANYAIN TENTANG SAWIT BANG DI PAPUA 🤣 WKKWKWK,harusnya tanyain tentang sawit bang di papua wkkwkwk
"Tetap tidak membenarkan politik Dinasti, pandji juga salah satu yg paling dia gak suka ya itu politik dinasti.",tetap tidak membenarkan politik dinasti pandji juga salah satu yg paling dia gak suka ya itu politik dinasti
cokmus ini dark nya gda apa apanya KLO  sama king fufufa,cokmus ini dark nya gda apa apanya klo sama king fufufa
"Bagi dong prompt nya bang, kok bisa serealistis dan sepanjang itu durasinya wiwkwk",bagi dong prompt nya bang kok bisa serealistis dan sepanjang itu durasinya wiwkwk
14:58 gorengnya pake OLIgarki abu fufufafa,gorengnya pake oligarki abu fufufafa
"Sebelum ada ini, gue merasa emang mas Wapres itu orang yang di fitnah dan terdzolimi. Setelah nonton reaction MENS REA ini pikiran gue berubah, emang mas Wapres terdzolimi dan terfitnah oleh perilakunya sendiri. Mirissss....",sebelum ada ini gue merasa emang mas wapres itu orang yang di fitnah dan terdzolimi setelah nonton reaction mens rea ini pikiran gue berubah emang mas wapres terdzolimi dan terfitnah oleh perilakunya sendiri mirissss
Herman Ngantuk,herman ngantuk
Coki asu ketawanya😂,coki asu ketawanya
"Sian bet Give Brain. Mangkanya jangan kebanyakan ngebaks, keliatan bet giting kan lau? Btw, buat duo buzzer, nitip pesen dong buat doi: Kalo ditanya apa2, jawabannya ko sama semua sih, AI n Coding? Emang dia pikir (ini pujian) AI itu cuman urusan nulis prompterkah? Giliran ditanya nama2 suku di Indonesia lau komat kamit kaya Alam. Btw, gw bukan anak abah ya, gw golput. Ga mungkinlah gw milih doi yg pasangannya hobi nekel kaki sendiri. Bocah jg tau itu tuh namanya diving.",sian bet give brain mangkanya jangan kebanyakan ngebaks keliatan bet giting kan lau btw buat duo buzzer nitip pesen dong buat doi kalo ditanya apa jawabannya ko sama semua sih ai n coding emang dia pikir ini pujian ai itu cuman urusan nulis prompterkah giliran ditanya nama suku di indonesia lau komat kamit kaya alam btw gw bukan anak abah ya gw golput ga mungkinlah gw milih doi yg pasangannya hobi nekel kaki sendiri bocah jg tau itu tuh namanya diving
Sekelas wapres bisa ikut podcast begini sedangkan pas demo menghilang 😂,sekelas wapres bisa ikut podcast begini sedangkan pas demo menghilang
Ngeluarin budget segitu banyaknya cuma buat ngomongin orangnya dibelakang...lha ini cuma modal meja doang bisa ngomongin didepan  orangnya langsung 😂,ngeluarin budget segitu banyaknya cuma buat ngomongin orangnya dibelakanglha ini cuma modal meja doang bisa ngomongin didepan orangnya langsung
roasting depan muka wkwkwkwkwk,roasting depan muka wkwkwkwkwk
Ah anak pria itu lagi,ah anak pria itu lagi
"sudah tw si bang adit ini tmenan sama bang gibran trlepas dr status ya, didunia nyata. santai j si kan, btw ini dbriefing dlu ga si, ko kea apa apa kliatan spontan trus briefing trsmbunyi di disela sela shoot bgini kwkw",sudah tw si bang adit ini tmenan sama bang gibran trlepas dr status ya didunia nyata santai j si kan btw ini dbriefing dlu ga si ko kea apa apa kliatan spontan trus briefing trsmbunyi di disela sela shoot bgini kwkw
"wkwkwk bangke, seorang2nya diangkut",wkwkwk bangke seorangnya diangkut
Mana yg lebih lucu pandji atau Roy Suryo? 🤣🤣🤣,mana yg lebih lucu pandji atau roy suryo
gibran ni klo gk terpilih pun jd stand up aja lucu parah,gibran ni klo gk terpilih pun jd stand up aja lucu parah
Deadwood top tier!!!!,deadwood top tier
Pria solo ngantukan itu lagi,pria solo ngantukan itu lagi
Cerminan kualitas pemilih kita ya segini.,cerminan kualitas pemilih kita ya segini
ANJG DEG DEG AN,anjg deg deg an
belajar komedian gih mas,belajar komedian gih mas
Keren kalian. Langsung sama sumber nya 🫡,keren kalian langsung sama sumber nya
ini bukan bikinan A.i kan??,ini bukan bikinan ai kan
13:00 kocakkkk😂😂,kocakkkk
9:17 lha emang palsu 😂,lha emang palsu
Anj 😂😂😂😂😂😂,anj
9:17 lha emang palsu 😂,lha emang palsu
"Fix mas wapres kita ini introvert, dia nyaman banget luwes ngobrol ama Coki Muslim krna emang circlenya mas wapres., Coba aja di datengin org baru, tiba2 nanya, dia byk diemnya, kalaupun jawab langsung to the point dgn jwbn singkat utk segera mengakhiri obrolan🤣",fix mas wapres kita ini introvert dia nyaman banget luwes ngobrol ama coki muslim krna emang circlenya mas wapres coba aja di datengin org baru tiba nanya dia byk diemnya kalaupun jawab langsung to the point dgn jwbn singkat utk segera mengakhiri obrolan
