comment,clean_comment,sentiment
sayang anak sayang anak 😂😂,sayang anak sayang anak,positive
Kok ga ditanya siapa pemilik akun fumfufamfa?,kok ga ditanya siapa pemilik akun fumfufamfa,negative
Ada loker yg buka ga guys?,ada loker yg buka ga guys,neutral
Plis banget undang mas Gibran di konten kesenjangan sosial,plis banget undang mas gibran di konten kesenjangan sosial,negative
pria solo itu lagi😸,pria solo itu lagi,negative
Goks parah ini 🤣🤣,goks parah ini,negative
Anjing sama wapres main Ela elo aja coki goblok😂,anjing sama wapres main ela elo aja coki goblok,negative
Asik ni orang😂,asik ni orang,negative
Mas udah dengerin lagu Slank yg terbaru? Bapak masih Slanker ga mas?,mas udah dengerin lagu slank yg terbaru bapak masih slanker ga mas,neutral
Bangsaaaaaaattttttt😢😂😂😂😂,bangsaaaaaaattttttt,negative
"denger wakil presiden bilang ""Jujutsu kaisen"" Langsung kegirangan gw jirrrr, pak gibran asik banget lohhh ya 🎉",denger wakil presiden bilang jujutsu kaisen langsung kegirangan gw jirrrr pak gibran asik banget lohhh ya,positive
Jaman sudah berubah wapres itu seharusnya mementingkan dtg ke podcast dr pd ngurusin dan memastikan kesejahteraan masyarakat 👍👍🤭,jaman sudah berubah wapres itu seharusnya mementingkan dtg ke podcast dr pd ngurusin dan memastikan kesejahteraan masyarakat,negative
Apakah kontrak aktif lagi?😅,apakah kontrak aktif lagi,neutral
Ini lebih parah dari mens rea nya panji asli serius 😂,ini lebih parah dari mens rea nya panji asli serius,negative
"ga papa, tp nyuruh buzzer buat nyerang, nyuruh termul buat ngelaporin..",ga papa tp nyuruh buzzer buat nyerang nyuruh termul buat ngelaporin,negative
sekelas wapres pun malah di ajak ga serius dan di becandain mulu di podcast ini sama 2 orang ini,sekelas wapres pun malah di ajak ga serius dan di becandain mulu di podcast ini sama orang ini,negative
Ga berani Lim nyenggol... Tanyain fufufafa itu siapa?,ga berani lim nyenggol tanyain fufufafa itu siapa,negative
Sehat selalu ya mas wapres❤❤❤,sehat selalu ya mas wapres,positive
"Anjing belum nnton aja, baru liat ni orang udah ktawa dluan Njiiing njing haha",anjing belum nnton aja baru liat ni orang udah ktawa dluan njiiing njing haha,negative
Pria Yomann dari solo,pria yomann dari solo,neutral
Gua yg dekdekan 😅,gua yg dekdekan,neutral
"Dipesenin YONO BAKRIE kopi, biar gak ngantuk",dipesenin yono bakrie kopi biar gak ngantuk,neutral
Mas sampeyan ngantuk😂,mas sampeyan ngantuk,negative
program nya jarang kena racun ya di ganti snek anjing bodok,program nya jarang kena racun ya di ganti snek anjing bodok,negative
AI,ai,positive
langsung mendatangkan atmin 2,langsung mendatangkan atmin,positive
GILAAAAAAAAAA!!!!!🎉🎉🎉🎉😂😂😂😂,gilaaaaaaaaaa,positive
Inikan anak haram konstitusi (menurut keyakinan saya),inikan anak haram konstitusi menurut keyakinan saya,negative
Gak masalah gak masalah tapi ngegelontorin dana ke buzzerp buat attack massal😂,gak masalah gak masalah tapi ngegelontorin dana ke buzzerp buat attack massal,negative
4:20 Kalo Panji sama Roy Suryo lucuan mana..,kalo panji sama roy suryo lucuan mana,negative
Konten klarifikasi tuker endorse bebek carok wkwkwk,konten klarifikasi tuker endorse bebek carok wkwkwk,neutral
Emang galak duo ini,emang galak duo ini,negative
Gak bakalan marah... Wong dia lebihhh ueeedannnn ngeroasting yg sekarang jadi atasan nya.... Hahaha fufufafa😂,gak bakalan marah wong dia lebihhh ueeedannnn ngeroasting yg sekarang jadi atasan nya hahaha fufufafa,positive
Vidio ini cuma ads Bebel Carok,vidio ini cuma ads bebel carok,negative
"Berasa wawancara menteri, padahal wakil presiden loh ini statusnya. Baru ini wakil presiden mampir di konten yang bukan formal",berasa wawancara menteri padahal wakil presiden loh ini statusnya baru ini wakil presiden mampir di konten yang bukan formal,negative
"Kirain masuknya ""cari bekingan"" 🤣",kirain masuknya cari bekingan,negative
Cuma coki yang berani nyomot tahu wapres tanpa ragu 😂😂😂,cuma coki yang berani nyomot tahu wapres tanpa ragu,negative
"wah kalo main fisik sih gak elegan sama sekali, beberapa orang emang ada yang keliatan ngantuk, keliatan gak mandi gitu2 emang ada tapi itu gak patut di bahas, apalagi umur lundi atas 20th udah harus malu sih.",wah kalo main fisik sih gak elegan sama sekali beberapa orang emang ada yang keliatan ngantuk keliatan gak mandi gitu emang ada tapi itu gak patut di bahas apalagi umur lundi atas th udah harus malu sih,negative
"05:42 bentar sih, 06:08 tugas percepatan pembangunan ke banyak tempat, mastiin banyak program, dengan waktu yang sebentar plus masih bisa main BOLA? duarrrr SUS banget omongannya 😅",bentar sih tugas percepatan pembangunan ke banyak tempat mastiin banyak program dengan waktu yang sebentar plus masih bisa main bola duarrrr sus banget omongannya,negative
"Panji atau roy suryo, tetap roy suryo sih lucunya😂",panji atau roy suryo tetap roy suryo sih lucunya,positive
Kya podcast sayang banget ga sampe 1 jam.,kya podcast sayang banget ga sampe jam,positive
Ingat tiap bulan gaji kalian dipotong buat gaji gibran chuakzzz,ingat tiap bulan gaji kalian dipotong buat gaji gibran chuakzzz,neutral
gokilllll buzzer VIP hahahhahaa,gokilllll buzzer vip hahahhahaa,negative
nanya gada jawaban jing,nanya gada jawaban jing,negative
SINGKAT PADAT NGAKAK 😂,singkat padat ngakak,positive
TOLONG NAIKAN GAJI MAS BAGAS!!!,tolong naikan gaji mas bagas,neutral
😂wapres yg sangat membaur dengan nitizen nitizen nya😂😂😂🎉🎉,wapres yg sangat membaur dengan nitizen nitizen nya,positive
Sibuk nyebokin,sibuk nyebokin,negative
Ngeri banget keluar dari bebek carok di kunci sniper wkwkwkw,ngeri banget keluar dari bebek carok di kunci sniper wkwkwkw,negative
"Panjing mah...dicuekkin malah baper, pake acara ngumpet lagi di mamarika...mau ikut perang ke green land lo njing??? 😂😂😂",panjing mahdicuekkin malah baper pake acara ngumpet lagi di mamarikamau ikut perang ke green land lo njing,negative
"Ini wapres loh, kayak gk ada harga dirinya disini. Tapi lucu sih wkwkwwk",ini wapres loh kayak gk ada harga dirinya disini tapi lucu sih wkwkwwk,negative
si fufufafa datang dong 😁,si fufufafa datang dong,neutral
komedi tepi jurang langsung dengan admin,komedi tepi jurang langsung dengan admin,neutral
Buzzer buzzer buzzer. Dana lancar jilat sampai kelar. Kok nggak bahas sawit.?,buzzer buzzer buzzer dana lancar jilat sampai kelar kok nggak bahas sawit,negative
Harusnya sih durasinya 2 jam slim👏🏻,harusnya sih durasinya jam slim,positive
5:31 sumpah pecah ketawa gw dibagian ini😭🤣,sumpah pecah ketawa gw dibagian ini,negative
Musmas serem bro backing an nya 🤣🤣🤣,musmas serem bro backing an nya,negative
😅 pangeran solo ngantukan,pangeran solo ngantukan,negative
"Pangeran solo nya udah! 
Next undang raja solo nya!",pangeran solo nya udah next undang raja solo nya,positive
4:24 wkwkwkwkwkwkwkwkw,wkwkwkwkwkwkwkwkw,positive
Buzzer ga due aji.,buzzer ga due aji,negative
atemin dataang,atemin dataang,negative
Anjir podcast berkeduk bulliying gak sih😅😅😅 5:35,anjir podcast berkeduk bulliying gak sih,negative
"Tepi jurang ❎
Ngegantung diatas kawah magma ✔️",tepi jurang ngegantung diatas kawah magma,neutral
Tolong untuk firdaus Wibowo laporkan 2 orang ini telah menghina wapres kita,tolong untuk firdaus wibowo laporkan orang ini telah menghina wapres kita,neutral
"Sumpah ngakak sampe keselek kopi gw keluar dari idung, asem asem 😂😂😂",sumpah ngakak sampe keselek kopi gw keluar dari idung asem asem,negative
08:37 ngkk banget cok,ngkk banget cok,positive
pngn Gw gamparin yg blg IKN mangkrak . Gw dlu krja Kuli di IKN 1 tahun bru plg sebulan kmren krna pngn nunggu Nenek di surabaya .. kok di blng mangkrak 😂😂 gw kulinya anjeng 😂😂 skrg krja di MBG di srbya,pngn gw gamparin yg blg ikn mangkrak gw dlu krja kuli di ikn tahun bru plg sebulan kmren krna pngn nunggu nenek di surabaya kok di blng mangkrak gw kulinya anjeng skrg krja di mbg di srbya,negative
Gak nanya ijazahnya mana? Fufufafa?,gak nanya ijazahnya mana fufufafa,negative
anjir mendatangkan final boss langsung,anjir mendatangkan final boss langsung,neutral
"Secara tidak langsung beliau membenarkan atau mengizinkan komika lain mengkritik pemerintahan dengan cara komedi.
Respect bosku !!!

Ngantuk aja jadi wapres,
Gimana kalau beliau segar bugar !!",secara tidak langsung beliau membenarkan atau mengizinkan komika lain mengkritik pemerintahan dengan cara komedi respect bosku ngantuk aja jadi wapres gimana kalau beliau segar bugar,positive
cari bagas,cari bagas,negative
Ai kah?,ai kah,negative
woiii,woiii,negative
Udah cuci tangan belum bang,udah cuci tangan belum bang,negative
mas gibran nahan tawa 😂,mas gibran nahan tawa,negative
Bangga berada di barisan fufufafa,bangga berada di barisan fufufafa,neutral
nah ini lucu junjungannya aj santuy..yg bawahnya lawak sekali😂😂😂,nah ini lucu junjungannya aj santuyyg bawahnya lawak sekali,negative
Paling pelayanan nya itu Paspamres semua 😂😂😂,paling pelayanan nya itu paspamres semua,negative
Cair slim,cair slim,positive
awas jurang😂😂,awas jurang,negative
tumben ada pejabat mau minta maap,tumben ada pejabat mau minta maap,negative
di belakang kamera ada ak-47,di belakang kamera ada ak,neutral
"Nunggu pertanyaan Pamungkas!! 
Prabsky tau gak kalo anda Fufufafa..",nunggu pertanyaan pamungkas prabsky tau gak kalo anda fufufafa,neutral
Buzzer goblok,buzzer goblok,negative
"Spill prompt yang di pake donk, rapih bgt kaya real.",spill prompt yang di pake donk rapih bgt kaya real,positive
"Gong si ini , coki muslim best",gong si ini coki muslim best,neutral
JURANG JURANG😂😂😂,jurang jurang,negative
Mana 19 jt loker woi kang kibul,mana jt loker woi kang kibul,neutral
Blok blok pertanyaan ny bikin kaget trs ga terduga😂😂,blok blok pertanyaan ny bikin kaget trs ga terduga,negative
😂😂😂😂,,ERROR
Bisa bisanya Recall Recall di depan raja terakhir 😂,bisa bisanya recall recall di depan raja terakhir,neutral
Harusnya tretan sama coki tanya apa pendapat mas Gibran tentang fufufafa😂,harusnya tretan sama coki tanya apa pendapat mas gibran tentang fufufafa,neutral
diparani atmin loh ya,diparani atmin loh ya,negative
Tretan sama paman coki gelap segelap gelapnya 😂,tretan sama paman coki gelap segelap gelapnya,negative
mas wapres masih bisa meluangkan waktu untuk podcast di sela-sela kesibukan beliau ☺️,mas wapres masih bisa meluangkan waktu untuk podcast di selasela kesibukan beliau,neutral
Terima kasih hiburanya cok da slim,terima kasih hiburanya cok da slim,positive
bagus mas Gibran...santai aja. Mau terima kritik. Pendukungnya semoga faham,bagus mas gibransantai aja mau terima kritik pendukungnya semoga faham,positive
Makin keliatan balas budinya mas,makin keliatan balas budinya mas,positive
"""Lo gak tau?"" -coki26",lo gak tau coki,negative
Akhirnya,akhirnya,positive
Kenapa ga tanya langsung fufufafa siapa ke dia,kenapa ga tanya langsung fufufafa siapa ke dia,negative
Ngakak😂,ngakak,negative
Kirain ada pertanyaan soal fufufafa,kirain ada pertanyaan soal fufufafa,neutral
😂😂😂 gokil,gokil,positive
Jilat terus. Asin asin,jilat terus asin asin,negative
DAMN,damn,positive
keren abis mas gibran,keren abis mas gibran,positive
"Saya tukang masak MBG yg dapurnya selalu aman makanan enak Mas 😂😂 ga kayak Dapur"" Jorok dan Mitra Nakal yg mengambil Untung berlebihan 😂😂😂",saya tukang masak mbg yg dapurnya selalu aman makanan enak mas ga kayak dapur jorok dan mitra nakal yg mengambil untung berlebihan,positive
"Wah kalo di bawa santai aja makin kebal baxot aja dong kedepan nya,. Minimal liatkan dikit urat malu atau hrga diri",wah kalo di bawa santai aja makin kebal baxot aja dong kedepan nya minimal liatkan dikit urat malu atau hrga diri,negative
Ngakak bgt 😂,ngakak bgt,negative
Idol,idol,positive
Panji vs tretan boxing seru nih!!!,panji vs tretan boxing seru nih,positive
hahahahahahahah ampun cok wkwkwkwkwkw langsung nak ngarepe wonge wkwkwkwkwkwkw respect pak wapres,hahahahahahahah ampun cok wkwkwkwkwkw langsung nak ngarepe wonge wkwkwkwkwkwkw respect pak wapres,positive
Wapres keren gini banyak hatersnya,wapres keren gini banyak hatersnya,positive
"Njir ngakak parah gw,hahahahhahah, wkkwkwkk, xixixixxixiii, fufufufuufu, fafafafafa..",njir ngakak parah gwhahahahhahah wkkwkwkk xixixixxixiii fufufufuufu fafafafafa,negative
Bocah bocah kosong🤣,bocah bocah kosong,negative
Cuan cuan cuan,cuan cuan cuan,negative
Pak saya mau jadi asn di ikn mohon di bantu ijazah sma kuliah teknik mengundurkan diri karena biaya. Privilege orang asli Papua Dan miskin,pak saya mau jadi asn di ikn mohon di bantu ijazah sma kuliah teknik mengundurkan diri karena biaya privilege orang asli papua dan miskin,negative
Muslim sama Coki gak gatel apa pengen ngatain juga sebenarnya?,muslim sama coki gak gatel apa pengen ngatain juga sebenarnya,negative
gelisah bangat nonton nyaa,gelisah bangat nonton nyaa,negative
Wapres gk sibuk² amat ternyata😅,wapres gk sibuk amat ternyata,negative
guest starnya admin Indonesia,guest starnya admin indonesia,neutral
"Daripada ngomong orang dibelakang, mending didepan orangnya langsung, secara tak langsung betapa pengecutnya Panji",daripada ngomong orang dibelakang mending didepan orangnya langsung secara tak langsung betapa pengecutnya panji,negative
Tumben Coky nyapu tretan,tumben coky nyapu tretan,neutral
the best WAPRES 😍🔥🔥🔥,the best wapres,positive
keren pak gibran . santuy nanggapin2 nya,keren pak gibran santuy nanggapin nya,positive
Gw lihat opening aja uda ketawa satt.. macam naruto ama sasuke dijumpai otsutsuki,gw lihat opening aja uda ketawa satt macam naruto ama sasuke dijumpai otsutsuki,negative
Itukan pria solo 👆👆👆,itukan pria solo,negative
😮,,ERROR
Saya pekerja di ikn juga di gedung kementrian pupr progres udah hampir 90% si,saya pekerja di ikn juga di gedung kementrian pupr progres udah hampir si,neutral
-Pandji wkk,pandji wkk,neutral
Panji : gua ngerosting malah di rosting,panji gua ngerosting malah di rosting,negative
orang tolol,orang tolol,negative
Lah muhammadiyah dan nu pada engga kenal dengan yang ngelaporin TAPI UDAH JELAS YANG NGELAPORIN ADALAH TIMSESNYA GIBRAN,lah muhammadiyah dan nu pada engga kenal dengan yang ngelaporin tapi udah jelas yang ngelaporin adalah timsesnya gibran,negative
Semangat mas Gibran rakyat Indonesia mendukungmu,semangat mas gibran rakyat indonesia mendukungmu,positive
Katanya MBG porsinya tambah banyak pas lu datang ke Papua ya wapres,katanya mbg porsinya tambah banyak pas lu datang ke papua ya wapres,positive
pria solo itu lagi,pria solo itu lagi,negative
Yaelah masih aja,yaelah masih aja,negative
"Mantap, mendatangkan admin fufufafa",mantap mendatangkan admin fufufafa,positive
saya yakin mas gibran nahan tawa.kalo kamera mati dan tempat y sepi pasti ketawa yakin. hehehe,saya yakin mas gibran nahan tawakalo kamera mati dan tempat y sepi pasti ketawa yakin hehehe,positive
waw waw waw waw waaaaaaaw 😂,waw waw waw waw waaaaaaaw,positive
sleptzy,sleptzy,positive
Bener bener panji gak ada harga dirinya!!! Panji minjem nama gibran buat lucu lucuan ini dua orang malah pinjem orangnya langsung live depan jidat 😂😂😂😂 bukan lagi tepi jurang tapi sudah masuk kawah candra dimuka,bener bener panji gak ada harga dirinya panji minjem nama gibran buat lucu lucuan ini dua orang malah pinjem orangnya langsung live depan jidat bukan lagi tepi jurang tapi sudah masuk kawah candra dimuka,negative
Kerenn nyoo wkwkwk,kerenn nyoo wkwkwk,positive
bro dekat jurang,bro dekat jurang,negative
"Dengan video ini hadir, malu sih sama yang udah ngebully anaknya Pandji. Wapresnya santuy, pengikutnya gak santuy. Jadi sebenernya yang tersinggung tuh kenapa 🤭🤭",dengan video ini hadir malu sih sama yang udah ngebully anaknya pandji wapresnya santuy pengikutnya gak santuy jadi sebenernya yang tersinggung tuh kenapa,negative
Hostnya anjir😅😅😅😅,hostnya anjir,neutral
Itukan Pangeran SOLO 😹,itukan pangeran solo,negative
"Wapres paling2 ini ,",wapres paling ini,neutral
RAJA TERAKHIR😂😂,raja terakhir,neutral
menunggu Pod case yang stu lagi,menunggu pod case yang stu lagi,negative
Keren gibran…disini gw respect dengan respon nya 👍,keren gibrandisini gw respect dengan respon nya,positive
Sungkem 🙏,sungkem,negative
Keliatan banget gibran berusaha nahan pas bahas Roy suryo 😂😂😂,keliatan banget gibran berusaha nahan pas bahas roy suryo,negative
12:43 bangsattt coki 😂😂😂😂,bangsattt coki,negative
"ga mungkin lah ya Muslim ngundang Wapres buat ngonten 

🗿",ga mungkin lah ya muslim ngundang wapres buat ngonten,negative
tranding 1 dah ini podcast terbaik di dunia !!!!!!!!! gibran terbaik hiya hiya hiya,tranding dah ini podcast terbaik di dunia gibran terbaik hiya hiya hiya,positive
Alhamdulillah video ngga berbayar,alhamdulillah video ngga berbayar,positive
Itukan anak dari pria solo,itukan anak dari pria solo,neutral
"anjir untung kampung gw yang keracunan nuget ikan hiu ngg di sebutin tadi, malu2 in aja, mentang2 daerah banyak laut",anjir untung kampung gw yang keracunan nuget ikan hiu ngg di sebutin tadi malu in aja mentang daerah banyak laut,negative
Hanya mas mas ngantuk yang bisa mempersatukan cokmus 1frame lagi di platform youTube,hanya mas mas ngantuk yang bisa mempersatukan cokmus frame lagi di platform youtube,neutral
"Ini bukan pinggir jurang lagi, tapi udah di palung mariana inimah😂😂😂",ini bukan pinggir jurang lagi tapi udah di palung mariana inimah,negative
"dri menit pertama ampe akhir gua kbanyakan ngakak banget anjir, haha tp. ampe gua mikir ini mas gibran mati rasa apa gimana sih hahaha. klo pejabat lain udh tersinggung loh yah. termasuk soal rubah fisik ke dr tompi itu, andtara dark jokes apa serius, sumpah gw bingung mo ktawa apa gak, best deh mas gibran pokoknya",dri menit pertama ampe akhir gua kbanyakan ngakak banget anjir haha tp ampe gua mikir ini mas gibran mati rasa apa gimana sih hahaha klo pejabat lain udh tersinggung loh yah termasuk soal rubah fisik ke dr tompi itu andtara dark jokes apa serius sumpah gw bingung mo ktawa apa gak best deh mas gibran pokoknya,negative
lah sempet ya,lah sempet ya,neutral
Biasa aja ah udah di seting bakal di omongin depan orangnya.. toh 2 sejoli ini buzernya.. cuiihhhh,biasa aja ah udah di seting bakal di omongin depan orangnya toh sejoli ini buzernya cuiihhhh,negative
"Gw kira thumbnail nya doang, ternyata beneran pria solo smurf",gw kira thumbnail nya doang ternyata beneran pria solo smurf,negative
sebenarnya gibran santai dan gak terlalu peduli tapi media yg melebih lebihkan... sebagian akun media adalah alat adu domba,sebenarnya gibran santai dan gak terlalu peduli tapi media yg melebih lebihkan sebagian akun media adalah alat adu domba,negative
Bravo mas gibran semoga selalu sehat dan lebih baik lagi mengemban amanah sebagai wakil presiden ❤❤❤,bravo mas gibran semoga selalu sehat dan lebih baik lagi mengemban amanah sebagai wakil presiden,positive
1 anomali dgn 2 ternak nya fenyevonk!! trio dark sistem.,anomali dgn ternak nya fenyevonk trio dark sistem,neutral
Anjg lngsung depan raja terakhir 😂,anjg lngsung depan raja terakhir,neutral
Moga2 kolom komentar yg mengejek orang atau gibran atau sebagainya itu dipertanggungjawabkan sepenuhnya di akhirat,moga kolom komentar yg mengejek orang atau gibran atau sebagainya itu dipertanggungjawabkan sepenuhnya di akhirat,negative
Goblok Cok 🤣🤣 mantap,goblok cok mantap,positive
cair cayirrrr,cair cayirrrr,positive
Ini scriptnya nya apa bang?,ini scriptnya nya apa bang,negative
Keren bang fokus 🤣,keren bang fokus,positive
"Genre : Komedi Santai

Enak ngobrolnya juga kalo gak baperan yee kan😂😂",genre komedi santai enak ngobrolnya juga kalo gak baperan yee kan,positive
Menyala wapreskuuu ❤,menyala wapreskuuu,positive
kwkwkw batu,kwkwkw batu,negative
"Anak saya baru lahir, malemnya  kalian roastingg🤣🤣",anak saya baru lahir malemnya kalian roastingg,neutral
Mengomentari orang meeting serius karna beliau liat meeting di gedung dpr ga serius kali 🗿🗿,mengomentari orang meeting serius karna beliau liat meeting di gedung dpr ga serius kali,negative
😂😂😂😂anjir di bandingin Roy suryo,anjir di bandingin roy suryo,negative
Tetep di kawal ya 😂,tetep di kawal ya,neutral
Bro terlalu slow untuk 2 anomali ini,bro terlalu slow untuk anomali ini,negative
Cuma ni channel yang bisa nge sumon araja terakhir awokawok,cuma ni channel yang bisa nge sumon araja terakhir awokawok,neutral
"Dia orangnya santaii, yang iq gorila aja yg ga bisa bedain candaan sama serius",dia orangnya santaii yang iq gorila aja yg ga bisa bedain candaan sama serius,negative
Seru bgt bisa ngatain depan orng nya langsung 😂,seru bgt bisa ngatain depan orng nya langsung,positive
"parahsih cuman 18 menit!!!
harusnya 2 jam 🤌",parahsih cuman menit harusnya jam,negative
Cair cair cair,cair cair cair,positive
kirain thumbnailnya AI,kirain thumbnailnya ai,negative
"anak muda banget,, daah seru banget ,,,, humoris juga...",anak muda banget daah seru banget humoris juga,positive
panji atau royy suryo?😂,panji atau royy suryo,neutral
19.000 LAPANGAN PEKERJAANNYA MANA ?? NGOPI DULU MAS BARU KERJA,lapangan pekerjaannya mana ngopi dulu mas baru kerja,neutral
AI nih 😂,ai nih,neutral
Admin nomor 2 😂,admin nomor,neutral
Gk mau komen nntik dikira buzzer😂 tapi pak wapres memang luas biasa😊🎉,gk mau komen nntik dikira buzzer tapi pak wapres memang luas biasa,negative
Termul,termul,positive
ini AI bukan sih?,ini ai bukan sih,negative
Durasiinya harus 1jam si inii 😁,durasiinya harus jam si inii,neutral
Pertanyaan soal bebek cocok untuk MBG kok dijawab serius mas 😂😂😂,pertanyaan soal bebek cocok untuk mbg kok dijawab serius mas,positive
Anjir langsung Raja terakhir 😂😂,anjir langsung raja terakhir,neutral
Greget banget jokes minyak kelapa sawit ga ada respon 😂😅,greget banget jokes minyak kelapa sawit ga ada respon,negative
"ah gua kritik mas tretan, kurang lama durasinya, belum keliatan tertekan mas Gibran nya 😂",ah gua kritik mas tretan kurang lama durasinya belum keliatan tertekan mas gibran nya,negative
"Ini seolah natural, padahal belakang layar para protokoler bekerja keras megamankan. Begitupun bts nya mungkin brief nya ketat bgt",ini seolah natural padahal belakang layar para protokoler bekerja keras megamankan begitupun bts nya mungkin brief nya ketat bgt,negative
Trending wajib wkwkwk,trending wajib wkwkwk,negative
Anjg🤣,anjg,positive
coki ngomong ke seorang Wapres pake loe gue anjirrr,coki ngomong ke seorang wapres pake loe gue anjirrr,negative
Keluarga perusak bangsa,keluarga perusak bangsa,negative
bosen sama logatnya,bosen sama logatnya,negative
anak jokodok,anak jokodok,neutral
"Di tanya apa, di jawab apa ❓❓❓ kacau bgt blm bagun kyk nya. Wkwkwk",di tanya apa di jawab apa kacau bgt blm bagun kyk nya wkwkwk,negative
"akun kaskus saya namanya defdef, kamu apa?",akun kaskus saya namanya defdef kamu apa,neutral
"Mas Gibran nih ketawa di tahan tahan Mas, lepasin ajj udh wkwkwk",mas gibran nih ketawa di tahan tahan mas lepasin ajj udh wkwkwk,neutral
saya sahabat gibran ❤,saya sahabat gibran,neutral
hilang harga diri wapres 😂,hilang harga diri wapres,neutral
"Ada sertifikat halal nya gak nih ? 
Mana ?
 tolong diperlihatkan didepan kamera

Saaaatttt 😂😂😂😂",ada sertifikat halal nya gak nih mana tolong diperlihatkan didepan kamera saaaatttt,neutral
Gorengnya ga pake minyak kepapa sawit 😂😂🤣🤣 ngakak,gorengnya ga pake minyak kepapa sawit ngakak,negative
"Orang yang sabar adalah orang besar. Kalau pun bukan besar dimata orang, besar di mata tuhan nya",orang yang sabar adalah orang besar kalau pun bukan besar dimata orang besar di mata tuhan nya,positive
Cuman ini berdua yg berani sama orang no 2 di Indonesia 😂,cuman ini berdua yg berani sama orang no di indonesia,negative
gibran ori,gibran ori,positive
Lucu terusss 😂,lucu terusss,positive
Ngerihhh banget wkwk,ngerihhh banget wkwk,negative
Ngantuk😂,ngantuk,negative
Recall recall depan fountain musuh beda 1 tangga doang ini mah,recall recall depan fountain musuh beda tangga doang ini mah,negative
coba suruh sebutin 6 suku yang ada di Indonesia,coba suruh sebutin suku yang ada di indonesia,negative
"i love this podcast.😂
    sukses selalu untuk 3 orang ini.",i love this podcast sukses selalu untuk orang ini,positive
"Inget ya, ya pernah narkoboy cuma yg pake kacamata",inget ya ya pernah narkoboy cuma yg pake kacamata,neutral
"beneran recall"" depan base anjir 🤣🤣🤣🤣🤣🤣",beneran recall depan base anjir,negative
"Langsung depan Mas wapress,,,  keren banget kalian. Termasuk mas wapres sehat selalu ,,,, tetap bekerja untuk rakyat.",langsung depan mas wapress keren banget kalian termasuk mas wapres sehat selalu tetap bekerja untuk rakyat,positive
Mana fufufafa nya?,mana fufufafa nya,positive
anak solo itu lagi,anak solo itu lagi,negative
Fufufafa dilawan 😂,fufufafa dilawan,negative
yang lain2 pada ke podcast dedi.. yg ini doang ke cok mus.. niat mw bersihin nama malah si bro sudah jatuh tertimpa cokimuslim.. agaklaen emang si bro dari solo ini..,yang lain pada ke podcast dedi yg ini doang ke cok mus niat mw bersihin nama malah si bro sudah jatuh tertimpa cokimuslim agaklaen emang si bro dari solo ini,negative
ini Ai kawan wkwkwwkk,ini ai kawan wkwkwwkk,neutral
pria solo ini lagi 😭,pria solo ini lagi,negative
"Cocoknya lokasi podcast di MARKOBAR Solo. 
Gw ketar-ketir kalo pertanyaannya ttg ijazah dan ttg FUFUFAFA. 
Rombongan mhsw ke IKN mereka banyak duit utk pergi ke Kaltim.",cocoknya lokasi podcast di markobar solo gw ketarketir kalo pertanyaannya ttg ijazah dan ttg fufufafa rombongan mhsw ke ikn mereka banyak duit utk pergi ke kaltim,positive
Lil Solo Jr,lil solo jr,neutral
Kok bisa bisanya mas Gibran mau nyambangin 2 manusia tak berbiji ini?  Ehhh 😂😂😂,kok bisa bisanya mas gibran mau nyambangin manusia tak berbiji ini ehhh,negative
Goat,goat,negative
Bjir fangkee😂😂😂,bjir fangkee,negative
"Keren, Veo 3 AI sekarang bisa sebagus ini.",keren veo ai sekarang bisa sebagus ini,positive
ketara bngt dia so jaim nahan2 ketawa. yakin dia juga pngen ikut ngjokes juga,ketara bngt dia so jaim nahan ketawa yakin dia juga pngen ikut ngjokes juga,negative
Coba tanya pendapat beliau tentang fufufafa yg menghina pak prabowo,coba tanya pendapat beliau tentang fufufafa yg menghina pak prabowo,negative
timses cair nih,timses cair nih,negative
Apasih kok bentar doang.,apasih kok bentar doang,negative
Sibuk banget ya wapres bisa hadir 😂,sibuk banget ya wapres bisa hadir,negative
"dih anjay apa2in ini, real apa borongan itu gibran",dih anjay apain ini real apa borongan itu gibran,neutral
Menurutku coki tretan juga the real kocak dan lucu melalui pendekatan yg berbeda 🤣. (SECARA LANGSUNG) 😂😂😂😂,menurutku coki tretan juga the real kocak dan lucu melalui pendekatan yg berbeda secara langsung,positive
"tau ga sebenernya kalo coki sama tretan ini smooth bully ke. gibran dari dulu, only people high sense can feel that😂",tau ga sebenernya kalo coki sama tretan ini smooth bully ke gibran dari dulu only people high sense can feel that,negative
pnya wkt luang ya😅,pnya wkt luang ya,neutral
Gaada pertanyaan tentang siapa Fufufafa di konten ini?,gaada pertanyaan tentang siapa fufufafa di konten ini,neutral
Diperpanjang sampai 2029,diperpanjang sampai,negative
Si sibuk tuh bisa podcast 😂😂,si sibuk tuh bisa podcast,negative
Gratifikasi cok🗿,gratifikasi cok,neutral
this is final boss right hare,this is final boss right hare,neutral
"*iya emang tidak mangkrak , tapi pernah mangkrak , soalnya saya kan pekerja bangunan disana dan dari vendor saya yg ngecor itu jalan* mass Gibran jangan maksain deh hehehe. Akibat proyek IKN mangkrak kemarin saya dan teman"" dipulangkan ke kampung*",iya emang tidak mangkrak tapi pernah mangkrak soalnya saya kan pekerja bangunan disana dan dari vendor saya yg ngecor itu jalan mass gibran jangan maksain deh hehehe akibat proyek ikn mangkrak kemarin saya dan teman dipulangkan ke kampung,negative
